"Invoice ID",AVG(Total)
189-40-5216,708.3195
443-59-0061,708.225
287-21-9091,705.6315
640-49-2076,703.752
616-87-0016,702.219
743-88-1662,701.8515
188-55-0967,697.935
430-60-3493,697.368
670-79-6321,695.2365
489-82-1237,690.018
845-94-6841,688.716
668-90-8900,688.6215
457-13-1708,684.915
538-22-0304,681.975
222-42-0244,681.4395
263-12-5321,680.61
400-89-4171,680.148
612-36-5536,680.064
149-61-1929,673.995
326-78-5178,671.79
648-83-1321,667.38
347-72-6115,666.939
394-55-6384,663.2955
868-06-0466,657.531
836-82-5858,655.5465
189-55-2313,652.89
796-12-2025,652.26
849-09-3807,649.299
452-04-8808,640.038
632-32-4574,637.728
373-73-7910,634.3785
305-18-3552,633.99
430-53-4718,633.108
759-98-4285,631.1445
672-51-8681,629.8425
641-62-7288,629.496
725-54-0677,629.16
667-92-0055,628.929
477-24-6490,628.173
699-14-3026,627.6165
379-17-6588,625.905
870-72-4431,624.897
125-45-2293,624.33
651-88-7328,621.243
828-46-6863,620.739
648-94-3045,618.975
137-63-5492,616.98
109-28-2512,614.943
887-42-0517,611.079
730-50-9884,610.491
731-59-7531,609.588
131-15-8856,609.168
575-30-8091,609
152-08-9985,608.202
406-46-7107,608.076
886-77-9084,603.876
262-47-2794,603.624
339-96-8318,597.6285
314-23-4520,597.0405
386-27-7606,596.82
299-46-1805,590.436
588-47-8641,588.42
423-57-2993,588.357
136-08-6195,587.664
241-11-2261,586.971
660-29-7083,586.635
802-70-5316,580.419
433-08-7822,579.8415
541-48-8554,575.9775
663-86-9076,575.736
272-65-1806,575.316
878-30-2331,572.775
466-61-5506,571.41
827-44-5872,570.78
862-59-8517,568.512
873-95-4984,565.215
166-19-2553,561.078
438-23-1242,557.718
866-70-2814,554.295
541-08-3113,554.148
358-88-9262,551.124
590-83-4591,550.935
210-57-1719,550.368
750-67-8428,548.9715
645-44-1170,548.7615
308-47-4913,548.73
154-87-7367,548.184
404-91-5964,548.163
157-13-5295,545.37
241-72-9525,545.055
408-26-9866,543.753
196-01-2849,539.343
785-13-7708,536.991
336-78-2147,536.844
410-67-1709,536.592
370-41-7321,535.7205
227-78-1148,535.374
721-86-6247,532.728
411-77-0180,530.67
862-17-9201,529.515
767-05-1286,527.751
186-79-9562,527.5095
857-16-3520,525.231
451-28-5717,523.971
815-11-1168,523.845
868-52-7573,523.3725
733-01-9107,521.01
552-44-5977,520.8
347-34-2234,520.4115
718-57-9773,517.965
534-01-4457,514.773
624-01-8356,514.605
582-52-8065,513.2295
483-71-1164,512.19
105-31-1824,510.972
394-41-0748,510.9615
689-05-1884,510.615
416-13-5917,509.4075
786-94-2700,507.906
667-23-5919,507.675
626-43-7888,507.444
656-95-9349,506.6355
160-22-2687,503.7375
532-59-7201,503.559
201-63-8275,499.7265
372-62-5264,497.07
474-33-8305,495.3165
704-11-6354,494.76
871-79-8483,494.1825
744-02-5987,493.794
239-10-7476,491.085
123-19-1176,489.048
325-90-8763,488.985
114-35-5271,486.444
607-76-6216,485.5725
318-68-5053,485.037
122-61-9553,484.974
142-63-6033,484.89
782-95-9291,484.5225
102-77-2261,480.0285
719-89-8991,479.9025
809-69-9497,479.64
841-35-6630,478.233
811-03-8790,477.54
577-34-7579,477.1305
268-27-6179,474.348
130-98-8941,472.311
225-32-0908,471.03
752-23-3760,470.988
458-10-8612,470.988
891-01-7034,470.673
361-85-2571,469.77
760-90-2357,469.413
407-63-8975,465.444
145-94-9061,463.89
263-10-3913,463.428
759-29-9521,462.672
828-61-5674,462.21
840-19-2096,461.5275
333-73-7901,461.328
462-67-9126,461.286
800-09-8606,458.6925
765-26-6951,457.443
327-40-9673,457.38
468-01-2051,456.288
401-09-4232,455.1225
252-56-2699,453.495
405-31-3305,452.865
300-71-4605,451.71
426-39-2418,451.3635
550-84-8664,451.0275
316-66-3011,450.1035
499-27-7781,446.964
781-84-8059,446.439
778-89-7974,442.323
227-03-5010,441.756
730-70-9830,441.693
109-86-4363,441.588
123-35-4896,440.937
845-51-0542,439.8975
389-70-2397,439.215
732-94-0499,437.325
354-25-5821,435.456
851-98-3555,435.12
355-53-5943,433.692
497-37-6538,432.9885
420-18-8989,432.768
709-58-4068,431.445
522-57-8364,431.256
834-83-1826,430.71
503-07-0930,429.1665
472-15-9636,427.812
377-79-7592,423.738
139-20-0155,423.15
380-60-5336,422.73
316-55-4634,420.2625
659-36-1684,419.832
548-46-9322,418.95
183-56-6882,417.564
213-32-1216,416.178
200-40-6154,415.233
433-75-6987,411.3795
276-54-0879,410.508
733-29-1227,408.7335
210-74-9613,408.492
778-34-2523,408.408
595-86-2894,407.316
726-27-2396,406.875
374-17-3652,404.649
266-20-6657,404.544
566-71-1091,404.355
869-11-3082,403.872
115-99-4379,402.2655
362-58-8315,401.73
711-31-1234,401.688
707-32-7409,401.268
376-56-3573,400.764
530-90-9855,399.756
595-27-4851,398.958
173-82-9529,398.475
534-53-3526,397.992
501-61-1753,397.845
749-81-8133,397.614
369-82-2676,397.215
719-76-3868,395.892
132-32-9879,394.632
559-98-9873,394.3275
632-90-0281,394.275
603-07-0961,392.6475
630-74-5166,391.419
658-66-3967,390.9465
269-10-8440,390.7995
493-65-6248,388.29
775-72-1988,384.72
608-96-3517,384.468
198-84-7132,383.7645
299-29-0180,383.523
484-22-8230,381.3915
834-61-8124,379.9215
600-38-9738,377.58
533-66-5566,375.3645
420-11-4919,374.7975
397-25-8725,374.409
889-04-9723,374.388
731-14-2199,373.17
725-67-2480,370.125
468-99-7231,369.684
662-47-5456,369.495
249-42-3782,367.5525
212-62-1842,367.038
509-29-3912,365.904
692-27-8933,365.085
633-44-8566,362.943
234-36-2483,362.817
894-41-5205,362.712
500-02-2261,360.927
701-69-8742,360.885
244-08-0162,359.205
505-02-0892,357.588
283-79-9594,356.5485
134-54-4720,356.328
783-09-1637,354.0075
741-73-3559,353.1675
598-47-9715,353.094
149-15-7606,352.674
566-19-5475,352.5795
422-29-8786,352.2225
563-47-4072,351.603
803-83-5989,351.099
498-41-1961,350.07
490-95-0021,348.705
257-73-1380,348.306
289-15-7034,345.786
895-03-6665,345.0195
246-11-3901,344.4
642-30-6693,343.413
810-60-6344,343.224
834-25-9262,343.056
815-04-6282,341.0925
631-41-3108,340.5255
725-56-0833,339.36
676-39-6028,338.31
246-55-6923,338.2155
787-56-0757,337.512
101-17-6199,336.5565
311-13-6971,335.895
460-93-5834,335.013
374-38-5555,334.4775
843-01-4703,334.341
477-59-2456,333.984
727-17-0390,333.9525
608-27-6295,333.207
146-09-5432,331.128
118-62-1812,329.196
129-29-8530,328.755
799-71-1548,326.424
443-82-0585,326.256
220-68-6701,325.374
563-91-7120,324.2925
434-83-9547,323.148
796-32-9050,323.064
291-21-5991,321.7725
588-01-7461,321.111
827-26-2100,319.788
853-23-2453,318.108
811-35-1094,317.835
728-88-7867,317.226
685-64-1609,316.47
558-60-5016,314.685
153-58-4872,314.538
420-04-7590,314.055
459-45-2396,313.74
221-25-5073,313.572
846-10-0341,312.8895
695-09-5146,311.1885
370-96-0655,310.716
326-71-2155,310.59
269-04-5750,310.044
210-67-5886,309.3615
647-50-1224,308.91
274-05-5470,308.574
308-81-0538,306.81
130-67-4723,305.55
364-34-2972,304.983
585-11-6748,304.92
847-38-7188,304.542
408-66-6712,300.573
785-96-0615,300.216
189-08-9157,299.8485
263-87-5680,299.565
427-45-9297,299.3655
319-74-2561,298.116
409-49-6995,297.801
144-51-6085,297.108
886-18-2897,296.94
286-01-5402,295.6905
804-38-3935,295.407
689-16-9784,294.651
789-23-8625,293.643
593-65-1552,293.202
302-15-2162,293.139
458-41-1477,291.438
191-10-6171,291.207
235-46-8343,290.43
131-70-8179,290.0835
430-02-3888,289.926
725-32-9708,288.582
824-88-3614,288.204
425-85-2085,288.015
400-80-4065,287.91
239-36-3640,285.705
316-01-3952,284.9175
832-51-6761,284.592
597-78-7908,284.193
556-41-6224,282.576
882-40-4577,282.492
670-71-7306,281.169
343-61-3544,280.035
720-72-2436,279.384
549-59-1358,279.1845
568-90-5112,277.788
562-12-5430,277.6725
371-85-5789,277.137
380-94-4661,276.948
468-88-0009,276.948
641-96-3695,273.798
342-65-4817,273.42
440-59-5691,273.0525
238-49-0436,272.664
211-05-0490,272.58
875-46-5808,271.95
448-34-8700,271.2885
852-82-2749,271.278
539-21-7227,270.585
592-46-1692,270.2595
235-06-8510,270.018
797-88-0493,269.934
470-32-9057,269.535
288-38-3758,267.3405
449-16-6770,266.6475
345-68-9016,266.028
382-25-8917,265.104
740-22-2500,264.7575
307-85-2293,263.97
574-80-1489,263.97
217-58-1179,263.13
636-17-0325,262.794
712-39-0363,262.458
826-58-8051,261.198
740-11-5257,259.77
793-10-3222,258.678
864-24-7918,257.145
360-39-5055,256.7775
866-05-7563,256.41
195-06-0432,255.1815
565-67-6697,255.15
584-86-7256,254.016
324-41-6833,253.68
541-89-9860,253.512
458-61-0011,253.26
777-82-7220,253.008
133-77-3154,252.756
531-56-4728,252.252
307-83-9164,252.042
182-88-2763,251.7165
124-31-1458,250.7085
728-47-9078,250.278
110-05-6330,248.409
888-02-0338,247.8735
190-59-3964,247.59
655-07-2265,246.6765
365-64-0515,246.4875
809-46-1866,244.23
284-34-9626,242.676
542-41-0513,241.458
857-67-9057,240.975
801-88-0346,239.589
149-14-0304,239.4
256-08-8343,237.426
880-35-0356,236.88
609-81-8548,235.872
151-27-8496,235.746
540-11-4336,235.683
848-62-7243,235.2105
162-48-8011,234.0975
447-15-7839,233.52
554-53-3790,233.226
787-87-2010,233.1
156-95-3964,232.638
755-12-3214,232.155
576-31-4774,231.2415
526-86-8552,229.11
218-59-9410,228.123
695-28-6250,226.065
420-97-3340,225.792
209-61-0206,225.2775
544-55-9589,225.015
226-71-3580,224.4375
717-96-4189,223.587
716-39-1409,223.0725
366-43-6862,222.138
365-16-4334,222.012
457-12-0244,221.886
704-20-4138,218.0745
551-21-3069,218.0115
749-24-1565,217.6335
891-58-8335,217.6335
777-67-2495,217.2555
127-47-6963,217.182
354-39-5160,216.846
291-55-6563,216.846
649-11-3678,216.6885
276-75-6884,216.4365
439-54-7422,214.998
662-72-2873,214.935
730-61-8757,214.746
345-08-4992,214.137
301-81-8610,213.528
610-46-4100,212.7825
639-76-1242,212.73
608-04-3797,212.688
305-03-2383,211.365
257-60-7754,210.966
437-53-3084,209.769
446-47-6729,209.622
471-41-2823,209.559
544-32-5024,209.118
831-64-0259,208.6875
174-36-3675,208.677
514-37-2845,208.425
868-81-1752,208.089
438-01-4015,207.858
191-29-0321,207.585
714-02-3114,207.48
409-33-9708,206.808
521-18-7827,206.7975
510-09-5628,206.43
502-05-1910,205.317
558-80-4082,204.6975
518-17-2983,204.246
174-75-0888,203.931
126-54-1082,203.553
254-31-0042,203.175
726-29-6793,203.112
595-11-5460,202.818
288-62-1085,202.335
565-17-3836,200.214
565-80-5980,198.996
375-72-3056,198.639
250-17-5703,197.925
642-61-4706,196.14
282-35-2475,195.951
142-72-4741,195.72
618-34-8551,195.678
645-78-8093,195.594
339-18-7061,195.258
732-04-5373,195.174
674-15-9296,194.985
651-61-0874,194.124
258-69-7810,193.4625
509-10-0516,193.074
201-86-2184,193.011
120-06-4233,192.843
531-80-1784,191.247
750-57-9686,190.596
704-10-4056,190.4805
585-03-5943,190.155
727-46-3608,189.0945
381-20-0914,189.0945
373-88-1424,188.0025
418-05-0656,187.866
258-92-7466,187.32
175-54-2529,186.228
745-71-3520,185.367
787-15-1757,185.094
189-17-4241,184.107
271-77-8740,184.086
690-01-6631,183.645
629-42-4133,183.12
746-68-6593,183.036
706-36-6154,182.952
807-14-7833,182.91
873-14-6353,182.427
779-42-2410,181.881
346-12-3257,181.818
636-48-8204,181.44
214-30-2776,181.0725
744-82-9138,180.873
790-29-1172,180.621
834-45-5519,180.6
747-58-7183,180.4005
788-07-8452,178.164
770-42-8960,177.408
859-97-6048,176.925
635-28-5728,176.4
589-02-8023,175.917
242-11-3142,175.917
733-33-4967,175.14
442-44-6497,175.0455
756-93-1854,175.035
548-48-3156,175.014
485-30-8700,174.615
699-01-4164,174.3
272-27-9238,173.208
692-92-5582,172.746
628-34-3388,172.494
329-62-1586,172.2105
848-42-2560,172.011
831-07-6050,171.7275
289-65-5721,170.877
870-54-3162,169.3125
340-21-9136,168.21
856-66-2701,167.895
518-71-6847,167.58
186-71-5196,167.034
877-22-3308,166.635
414-12-7047,166.236
865-92-6136,166.1625
199-75-8169,166.005
867-47-1948,165.9
135-13-8269,165.648
139-52-2867,165.4485
665-63-9737,165.123
278-86-2735,164.871
286-62-6248,164.682
152-68-2907,164.43
497-36-0989,163.611
729-09-9681,163.233
701-23-5550,163.002
851-28-6367,162.75
480-63-2856,161.7
873-51-0671,161.553
655-85-5130,160.86
423-80-0988,160.44
287-83-1405,160.209
795-49-7276,156.03
583-72-1480,155.652
767-54-1907,155.19
437-58-8131,154.392
236-27-1144,154.1295
173-57-2300,153.048
510-95-6347,152.838
387-49-4215,152.775
340-66-0321,152.712
355-34-6244,152.019
120-54-2248,151.515
378-07-7001,151.4835
198-66-9832,151.284
613-59-9758,150.78
373-14-0504,150.423
633-09-3463,150.0975
527-09-6272,149.3625
715-20-1673,148.995
808-65-0703,148.974
892-05-6689,148.68
459-50-7686,147.798
334-64-2006,147.672
423-64-4619,146.9475
816-72-8853,146.6325
695-51-0018,146.328
656-16-1063,146.223
207-73-1363,145.971
620-02-2046,145.74
181-94-6432,145.593
595-94-9924,145.5825
510-79-0415,145.404
286-75-7818,145.068
751-15-6198,144.963
453-12-7053,144.081
734-91-1155,143.9865
585-86-8361,143.22
788-21-5741,142.947
134-75-2619,142.002
400-45-1220,141.75
150-89-8043,140.6475
301-11-9629,140.385
399-69-4630,139.923
776-68-1096,138.978
744-09-5786,138.663
700-81-1757,138.1275
200-16-5952,137.865
110-48-7033,137.004
767-97-4650,136.143
746-54-5508,135.576
151-16-1484,135.45
322-02-2271,135.3555
596-42-3999,133.917
592-34-6155,133.434
830-58-2383,133.35
556-97-7101,132.762
102-06-2002,132.5625
133-14-7229,132.027
101-81-4070,131.922
760-27-5490,131.208
268-20-3585,130.8825
560-30-5617,130.0425
760-53-9233,130.032
760-54-1821,128.4255
261-12-8671,128.016
816-57-2053,127.827
148-82-2527,127.26
842-29-4695,125.979
503-21-4385,125.7165
339-38-9982,125.706
396-90-2219,125.664
448-81-5016,125.517
372-26-1506,125.055
583-41-4548,122.5245
545-07-8534,122.472
745-74-0715,121.863
266-76-6436,121.59
349-97-8902,121.569
727-75-6477,121.128
606-80-4905,120.645
848-07-1692,120.162
669-54-1719,119.259
748-45-2862,118.902
243-47-2663,118.251
356-44-8813,118.062
554-53-8700,117.831
794-32-2436,116.907
487-79-6868,116.1405
291-32-1427,115.185
642-32-2990,115.08
182-52-7000,113.568
378-24-2715,112.224
821-14-9046,110.124
132-23-6451,110.0925
641-43-2399,107.31
529-56-3974,107.142
756-01-7507,106.995
152-03-4217,106.596
176-78-1170,106.5015
883-69-1285,104.832
250-81-7186,104.6745
214-17-6927,103.824
233-34-0817,103.782
634-97-8956,103.635
181-82-6255,103.131
241-96-5076,103.11
401-18-8016,103.0365
643-38-7867,102.837
137-74-8729,102.396
594-34-4444,102.018
176-64-7711,101.808
761-49-0439,101.64
268-03-6164,100.9155
602-80-9671,100.485
186-43-8965,100.128
674-56-6360,99.9075
290-68-2984,99.75
343-75-9322,99.54
182-69-8360,99.33
875-31-8302,98.049
434-35-9162,98.028
702-72-0487,97.881
737-88-5876,97.818
359-94-5395,97.419
460-35-4390,96.642
256-58-3609,96.579
436-54-4512,96.1905
372-94-8041,96.138
598-06-7312,95.9175
528-14-9470,95.865
573-58-9734,95.6655
512-91-0811,94.2375
604-70-6476,94.185
478-06-7835,94.1745
247-11-2470,93.744
210-30-7976,93.744
394-43-4238,93.2925
106-35-6779,93.114
779-06-0012,93.0405
511-54-3087,92.8725
321-49-7382,92.7255
364-33-8584,92.5575
569-76-2760,92.442
325-89-4209,92.295
313-66-9943,91.8225
848-24-9445,91.77
450-28-2866,91.56
211-30-9270,91.4025
280-35-5823,91.056
574-57-9721,90.867
213-72-6612,90.825
586-25-0848,90.699
848-95-6252,90.5835
565-91-4567,90.3
451-73-2711,89.0715
237-44-6163,88.704
784-08-0310,88.368
187-83-5490,87.234
219-61-4139,87.234
453-63-6187,86.625
388-76-2555,86.247
390-31-6381,85.743
186-09-3669,85.5855
115-38-7388,85.512
679-22-6530,85.302
225-98-1496,85.113
284-54-4231,84.9765
173-50-1108,84.756
865-41-9075,84.7455
319-50-3348,84.63
885-17-6250,83.727
512-98-1403,83.412
860-73-6466,82.887
636-98-3364,82.719
696-90-2548,81.396
445-30-9252,80.955
563-36-9814,80.661
172-42-8274,80.367
226-31-3081,80.22
343-87-0864,79.674
525-88-7307,79.611
546-80-2899,79.149
578-80-7669,78.7185
593-95-4461,78.603
871-39-9221,78.435
556-86-3144,78.0045
285-68-5083,77.931
843-73-4724,77.805
400-60-7251,77.7735
277-63-2961,77.6685
339-12-4827,77.658
835-16-0096,77.175
585-90-0249,76.923
227-50-3718,76.755
631-34-1880,76.5765
316-68-6352,76.356
665-32-9167,76.146
359-90-3665,75.936
279-74-2924,75.7785
441-94-7118,75.5475
190-14-3147,75.474
616-24-2851,75.054
841-18-8232,74.76
870-76-1733,74.7075
239-48-4278,74.4555
333-23-2632,74.088
220-28-1851,72.933
686-41-0932,72.87
162-65-8559,72.429
732-67-5346,72.3975
886-54-6089,72.009
549-96-4200,71.568
232-16-2483,71.526
151-33-7434,71.1585
838-78-4295,70.287
794-42-3736,69.993
273-16-6619,69.72
366-93-0948,69.6675
346-84-3103,69.405
347-56-2442,69.111
821-07-3596,69.09
305-89-2768,68.985
881-41-7302,68.2395
275-28-0149,66.8745
428-83-5800,66.402
650-98-6268,65.7405
278-97-7759,65.604
652-49-6720,63.9975
443-60-9639,63.9135
291-59-1384,63.315
273-84-2164,63.2625
389-25-3394,62.0025
351-62-0822,60.816
584-66-4073,59.325
491-38-3499,58.2225
226-34-0034,57.876
790-38-4466,57.6975
154-74-7179,57.1725
605-83-1050,57.078
895-66-0685,56.952
676-10-2200,56.469
238-45-6950,56.406
587-73-4862,56.1225
462-78-5240,55.881
664-14-2882,55.2825
471-06-8611,55.041
807-34-3742,54.999
885-56-0389,54.9675
413-20-6708,54.0435
659-65-8956,53.928
516-77-6464,53.34
825-94-5922,53.151
163-56-7055,51.1455
735-06-4124,51.0405
837-55-7229,49.812
605-03-2706,49.77
169-52-4504,49.4235
442-48-3607,49.308
651-96-5970,48.7305
318-81-2368,48.51
560-49-6611,47.859
470-31-3286,46.683
569-71-4390,45.927
105-10-6182,45.108
722-13-2115,44.9925
504-35-8843,44.5935
687-15-1097,44.352
324-92-3863,43.869
233-67-5758,42.3675
608-05-3804,41.7375
528-87-5606,41.454
622-20-1945,41.391
449-27-2918,41.076
573-10-3877,40.9605
575-67-1508,40.53
390-17-5806,40.341
523-38-0215,38.85
729-46-7422,37.6845
482-17-1179,37.611
320-85-2052,36.5505
574-31-8277,35.3115
649-29-6775,35.196
479-26-8945,34.629
242-55-6721,33.936
573-98-8548,33.495
727-02-1313,33.432
545-46-3100,33.3585
859-71-0933,32.529
617-15-4209,32.277
307-04-2070,32.151
318-12-0304,32.1405
488-25-4221,31.9305
320-49-6392,31.752
549-23-9016,31.227
764-44-8999,30.996
421-95-9805,30.408
883-17-4236,30.219
296-11-7041,28.4235
840-76-5966,26.796
838-02-1821,26.733
156-20-0370,26.7225
856-22-8149,26.5545
568-88-3448,26.25
633-91-1052,25.263
556-72-8512,24.108
320-32-8842,23.751
862-29-5914,23.499
746-19-0921,22.659
896-34-0956,22.386
756-49-0168,20.685
390-80-5128,20.1075
382-03-4532,19.2465
802-43-8934,19.194
559-61-5987,18.6375
489-64-4354,17.094
593-08-5916,16.275
778-71-5554,16.2015
490-29-1201,16.107
236-86-3015,14.679
192-98-7397,13.419
279-62-1445,13.167
308-39-1707,12.6945
784-21-9238,10.6785
